lection,season,day,week
2Cor 10:7–18,Pentecost,Thursday,13
2Cor 11:5–12,Pentecost,Friday,13
1Cor 2:6–9,Pentecost,Saturday,13
1Cor 16:13–24,Pentecost,Sunday,13
2Cor 12:10–19,Pentecost,Monday,14
2Cor 12:20–13:2,Pentecost,Tuesday,14
2Cor 13:3–13,Pentecost,Wednesday,14
"Gal 1:1–10, 20–2:5",Pentecost,Thursday,14
Gal 2:6–10,Pentecost,Friday,14
1Cor 4:1–5,Pentecost,Saturday,14
2Cor 1:21–2:4,Pentecost,Sunday,14
Gal 2:11–16,Pentecost,Monday,15
Gal 2:21–3:7,Pentecost,Tuesday,15
Gal 3:15–22,Pentecost,Wednesday,15
Gal 3:23–4:5,Pentecost,Thursday,15
Gal 4:8–21,Pentecost,Friday,15
1Cor 4:17–5:5,Pentecost,Saturday,15
2Cor 4:6–15,Pentecost,Sunday,15
Gal 4:28–5:10,Pentecost,Monday,16
Gal 5:11–21,Pentecost,Tuesday,16
Gal 6:2–10,Pentecost,Wednesday,16
Eph 1:1–9,Pentecost,Thursday,16
Eph 1:7–17,Pentecost,Friday,16
1Cor 10:23–28,Pentecost,Saturday,16
2Cor 6:1–10,Pentecost,Sunday,16
Eph 1:22–2:3,Pentecost,Monday,17
Eph 2:19–3:7,Pentecost,Tuesday,17
Eph 3:8–21,Pentecost,Wednesday,17
Eph 4:14–19,Pentecost,Thursday,17
Eph 4:17–25,Pentecost,Friday,17
1Cor 14:20–25,Pentecost,Saturday,17
2Cor 6:16–7:1,Pentecost,Sunday,17
Eph 4:25–32,Feast of the Cross,Monday,1
Eph 5:20–26,Feast of the Cross,Tuesday,1
Eph 5:25–33,Feast of the Cross,Wednesday,1
Eph 5:33–6:9,Feast of the Cross,Thursday,1
Eph 6:18–24,Feast of the Cross,Friday,1
1Cor 15:39–45,Feast of the Cross,Saturday,1
2Cor 6:16–7:1,Feast of the Cross,Sunday,1
Phil 1:1–7,Feast of the Cross,Monday,2
Phil 1:8–14,Feast of the Cross,Tuesday,2
Phil 1:12–20,Feast of the Cross,Wednesday,2
Phil 1:20–27,Feast of the Cross,Thursday,2
Phil 1:27–2:4,Feast of the Cross,Friday,2
1Cor 15:58–16:3,Feast of the Cross,Saturday,2
2Cor 11:31–12:9,Feast of the Cross,Sunday,2
Phil 2:12–16,Feast of the Cross,Monday,3
Phil 2:17–23,Feast of the Cross,Tuesday,3
Phil 2:24–30,Feast of the Cross,Wednesday,3
Phil 3:1–8,Feast of the Cross,Thursday,3
Phil 3:8–19,Feast of the Cross,Friday,3
2Cor 1:8–11,Feast of the Cross,Saturday,3
Gal 1:11–19,Feast of the Cross,Sunday,3
Phil 4:10–23,Feast of the Cross,Monday,4
"Col 1:1, 2, 7–11",Feast of the Cross,Tuesday,4
Col 1:18–23,Feast of the Cross,Wednesday,4
Col 1:24–29,Feast of the Cross,Thursday,4
Col 2:1–7,Feast of the Cross,Friday,4
2Cor 3:12–18,Feast of the Cross,Saturday,4
Gal 2:16–20,Feast of the Cross,Sunday,4
Col 2:13–20,Feast of the Cross,Monday,5
Col 2:20–3:3,Feast of the Cross,Tuesday,5
Col 3:17–4:1,Feast of the Cross,Wednesday,5
Col 4:2–9,Feast of the Cross,Thursday,5
Col 4:10–18,Feast of the Cross,Friday,5
2Cor 5:1–10,Feast of the Cross,Saturday,5
Gal 6:11–18,Feast of the Cross,Sunday,5
